"","title","author","subject","abstract","date"
"40","imaging of i zw 18 by jwst: i. strategy and first results of dusty stellar populations","alec s. hirschauer, nicolas crouzet, nolan habel, laura lenkić, conor nally, olivia c. jones, giacomo bortolini, martha l. boyer, kay justtanont margaret meixner, göran östlin, gillian s. wright, ruyman azzollini, joris a. d. l. blommaert, bernhard brandl, leen decin, omnarayani nayak, pierre royer, b. a. sargent, paul van der werf","astrophysics of galaxies","we present a james webb space telescope (jwst) imaging survey of i zw 18, the archetypal extremely metal-poor, star-forming, blue compact dwarf galaxy. with an oxygen abundance of only $\sim$3% $z_{\odot}$, it is among the lowest-metallicity systems known in the local universe, and is, therefore, an excellent accessible analog for the galactic building blocks which existed at early epochs of ionization and star formation. these jwst data provide a comprehensive infrared (ir) view of i zw 18 with eight filters utilizing both nircam (f115w, f200w, f356w, and f444w) and miri (f770w, f1000w, f1500w, and f1800w) photometry, which we have used to identify key stellar populations that are bright in the near- and mid-ir. these data allow for a better understanding of the origins of dust and dust-production mechanisms in metal-poor environments by characterizing the population of massive, evolved stars in the red supergiant (rsg) and asymptotic giant branch (agb) phases. in addition, it enables the identification of the brightest dust-enshrouded young stellar objects (ysos), which provide insight into the formation of massive stars at extremely low metallicities typical of the very early universe. this paper provides an overview of the observational strategy and data processing, and presents first science results, including identifications of dusty agb star, rsg, and bright yso candidates. these first results assess the scientific quality of jwst data and provide a guide for obtaining and interpreting future observations of the dusty and evolved stars inhabiting compact dwarf star-forming galaxies in the local universe.",2024-03-11
"41","can llms separate instructions from data? and what do we even mean by that?","egor zverev, sahar abdelnabi, mario fritz, christoph h. lampert","machine learning","instruction-tuned large language models (llms) have achieved breakthrough results, opening countless new possibilities for many practical applications. however, llms lack elementary safety features that are established norms in other areas of computer science, such as the separation between instructions and data, causing them to malfunction or rendering them vulnerable to manipulation and interference by third parties e.g., via indirect prompt/command injection. even worse, so far, there is not even an established definition of what precisely such a separation would mean and how its violation could be tested. in this work, we aim to close this gap. we introduce a formal measure to quantify the phenomenon of instruction-data separation as well as an empirical variant of the measure that can be computed from a model`s black-box outputs. we also introduce a new dataset, sep (should it be executed or processed?), which allows estimating the measure, and we report results on several state-of-the-art open-source and closed llms. finally, we quantitatively demonstrate that all evaluated llms fail to achieve a high amount of separation, according to our measure. the source code and sep dataset are openly accessible at this https url.",2024-03-11
"42","smc-last extracted photometry","t. a. kuchar, g. c. sloan, d. r. mizuno, kathleen e. kraemer, m. l. boyer, martin a. t. groenewegen, o. c. jones, f. kemper, iain mcdonald, joana m. oliveira, marta sewiło, sundar srinivasan, jacco th. van loon, albert zijlstra","astrophysics of galaxies","we present point-source photometry from the spitzer space telescope's final survey of the small magellanic cloud (smc). we mapped 30 square degrees in two epochs in 2017, with the second extending to early 2018 at 3.6 and 4.5 microns using the infrared array camera. this survey duplicates the footprint from the sage-smc program in 2008. together, these surveys cover a nearly 10 yr temporal baseline in the smc. we performed aperture photometry on the mosaicked maps produced from the new data. we did not use any prior catalogs as inputs for the extractor in order to be sensitive to any moving objects (e.g., foreground brown dwarfs) and other transient phenomena (e.g., cataclysmic variables or fu ori-type eruptions). we produced a point-source catalog with high-confidence sources for each epoch as well as combined-epoch catalog. for each epoch and the combined-epoch data, we also produced a more complete archive with lower-confidence sources. all of these data products will be available to the community at the infrared science archive.",2024-03-11
"43","societal and scientific impact of policy research: a large-scale empirical study of some explanatory factors using altmetric and overton","pablo dorta-gonzález, alejandro rodríguez-caro, maría isabel dorta-gonzález","digital libraries","this study investigates how scientific research influences policymaking by analyzing citations of research articles in policy documents (policy impact) for nearly 125,000 articles across 434 public policy journals. we reveal distinct citation patterns between policymakers and other stakeholders like researchers, journalists, and the public. news and blog mentions, social media engagement, and open access publications (excluding fully open access) significantly increase the likelihood of a research article being cited in policy documents. conversely, articles locked behind paywalls and those published under the full open access model (based on altmetric data) have a lower chance of being policy-cited. publication year and policy type show no significant influence. our findings emphasize the crucial role of science communication channels like news media and social media in bridging the gap between research and policy. interestingly, academic citations hold a weaker influence on policy citations compared to news mentions, suggesting a potential disconnect between how researchers reference research and how policymakers utilize it. this highlights the need for improved communication strategies to ensure research informs policy decisions more effectively. this study provides valuable insights for researchers, policymakers, and science communicators. researchers can tailor their dissemination efforts to reach policymakers through media channels. policymakers can leverage these findings to identify research with higher policy relevance. science communicators can play a critical role in translating research for policymakers and fostering dialogue between the scientific and policymaking communities.",2024-03-11
"44","approximating maximum edge 2-coloring by normalizing graphs","tobias mömke, alexandru popa, aida roshany-tabrizi, michael ruderer, roland vincze","discrete mathematics","in a simple, undirected graph g, an edge 2-coloring is a coloring of the edges such that no vertex is incident to edges with more than 2 distinct colors. the problem maximum edge 2-coloring (me2c) is to find an edge 2-coloring in a graph g with the goal to maximize the number of colors. for a relevant graph class, me2c models anti-ramsey numbers and it was considered in network applications. for the problem a 2-approximation algorithm is known, and if the input graph has a perfect matching, the same algorithm has been shown to have a performance guarantee of 5/3. it is known that me2c is apx-hard and that it is ug-hard to obtain an approximation ratio better than 1.5. we show that if the input graph has a perfect matching, there is a polynomial time 1.625-approximation and if the graph is claw-free or if the maximum degree of the input graph is at most three (i.e., the graph is subcubic), there is a polynomial time 1.5-approximation algorithm for me2c",2024-03-11
"45","untangling gaussian mixtures","eva fluck, sandra kiefer, christoph standke","statistics theory","tangles were originally introduced as a concept to formalize regions of high connectivity in graphs. in recent years, they have also been discovered as a link between structural graph theory and data science: when interpreting similarity in data sets as connectivity between points, finding clusters in the data essentially amounts to finding tangles in the underlying graphs. this paper further explores the potential of tangles in data sets as a means for a formal study of clusters. real-world data often follow a normal distribution. accounting for this, we develop a quantitative theory of tangles in data sets drawn from gaussian mixtures. to this end, we equip the data with a graph structure that models similarity between the points and allows us to apply tangle theory to the data. we provide explicit conditions under which tangles associated with the marginal gaussian distributions exist asymptotically almost surely. this can be considered as a sufficient formal criterion for the separabability of clusters in the data.",2024-03-11
"46","optimal bounds for distinct quartics","panagiotis charalampopoulos, paweł gawrychowski, samah ghazawi","data structures and algorithms","a fundamental concept related to strings is that of repetitions. it has been extensively studied in many versions, from both purely combinatorial and algorithmic angles. one of the most basic questions is how many distinct squares, i.e., distinct strings of the form $uu$, a string of length $n$ can contain as fragments. it turns out that this is always $\mathcal{o}(n)$, and the bound cannot be improved to sublinear in $n$ [fraenkel and simpson, jcta 1998]. several similar questions about repetitions in strings have been considered, and by now we seem to have a good understanding of their repetitive structure. for higher-dimensional strings, the basic concept of periodicity has been successfully extended and applied to design efficient algorithms -- it is inherently more complex than for regular strings. extending the notion of repetitions and understanding the repetitive structure of higher-dimensional strings is however far from complete. quartics were introduced by apostolico and brimkov [tcs 2000] as analogues of squares in two dimensions. charalampopoulos, radoszewski, rytter, waleń, and zuba [esa 2020] proved that the number of distinct quartics in an $n\times n$ 2d string is $\mathcal{o}(n^2 \log^2 n)$ and that they can be computed in $\mathcal{o}(n^2 \log^2 n)$ time. gawrychowski, ghazawi, and landau [spire 2021] constructed an infinite family of $n \times n$ 2d strings with $\omega(n^2 \log n)$ distinct quartics. this brings the challenge of determining asymptotically tight bounds. here, we settle both the combinatorial and the algorithmic aspects of this question: the number of distinct quartics in an $n\times n$ 2d string is $\mathcal{o}(n^2 \log n)$ and they can be computed in the worst-case optimal $\mathcal{o}(n^2 \log n)$ time.",2024-03-11
"47","balanced substructures in bicolored graphs","p. s. ardra, r. krithika, saket saurabh, roohani sharma","data structures and algorithms","an edge-colored graph is said to be balanced if it has an equal number of edges of each color. given a graph $g$ whose edges are colored using two colors and a positive integer $k$, the objective in the edge balanced connected subgraph problem is to determine if $g$ has a balanced connected subgraph containing at least $k$ edges. we first show that this problem is np-complete and remains so even if the solution is required to be a tree or a path. then, we focus on the parameterized complexity of edge balanced connected subgraph and its variants (where the balanced subgraph is required to be a path/tree) with respect to $k$ as the parameter. towards this, we show that if a graph has a balanced connected subgraph/tree/path of size at least $k$, then it has one of size at least $k$ and at most $f(k)$ where $f$ is a linear function. we use this result combined with dynamic programming algorithms based on color coding and representative sets to show that edge balanced connected subgraph and its variants are fpt. further, using polynomial-time reductions to the multilinear monomial detection problem, we give faster randomized fpt algorithms for the problems. in order to describe these reductions, we define a combinatorial object called relaxed-subgraph. we define this object in such a way that balanced connected subgraphs, trees and paths are relaxed-subgraphs with certain properties. this object is defined in the spirit of branching walks known for the steiner tree problem and may be of independent interest.",2024-03-11
"48","arborescences and shortest path trees when colors matter","p. s. ardra, jasine babu, kritika kashyap, r. krithika, sreejith k. pallathumadam, deepak rajendraprasad","data structures and algorithms","color-constrained subgraph problems are those where we are given an edge-colored (directed or undirected) graph and the task is to find a specific type of subgraph, like a spanning tree, an arborescence, a single-source shortest path tree, a perfect matching etc., with constraints on the number of edges of each color. some of these problems, like color-constrained spanning tree, have elegant solutions and some of them, like color-constrained perfect matching, are longstanding open questions. in this work, we study color-constrained arborescences and shortest path trees. computing a color-constrained shortest path tree on weighted digraphs turns out to be np-hard in general but polynomial-time solvable when all cycles have positive weight. this polynomial-time solvability is due to the fact that the solution space is essentially the set of all color-constrained arborescences of a directed acyclic subgraph of the original graph. while finding color-constrained arborescence of digraphs is np-hard in general, we give efficient algorithms when the input graph is acyclic. consequently, a color-constrained shortest path tree on weighted digraphs having only positive weight cycles can be efficiently computed. our algorithms also generalize to the problem of finding a color-constrained shortest path tree with minimum total weight. en route, we sight nice connections to colored matroids and color-constrained bases.",2024-03-11
"49","an algorithm for correct computation of reeb spaces for pl bivariate fields","amit chattopadhyay, yashwanth ramamurthi, osamu saeki","computational geometry","the reeb space is a topological structure which is a generalization of the notion of the reeb graph to multi-fields. its effectiveness has been established in revealing topological features in data across diverse computational domains which cannot be identified using the reeb graph or other scalar-topology-based methods. approximations of reeb spaces such as the mapper and the joint contour net have been developed based on quantization of the range. however, computing the topologically correct reeb space dispensing the range-quantization is a challenging problem. in the current paper, we develop an algorithm for computing a correct net-like approximation corresponding to the reeb space of a generic piecewise-linear (pl) bivariate field based on a multi-dimensional reeb graph (mdrg). first, we prove that the reeb space is homeomorphic to its mdrg. subsequently, we introduce an algorithm for computing the mdrg of a generic pl bivariate field through the computation of its jacobi set and jacobi structure, a projection of the jacobi set into the reeb space. this marks the first algorithm for mdrg computation without requiring the quantization of bivariate fields. following this, we compute a net-like structure embedded in the corresponding reeb space using the mdrg and the jacobi structure. we provide the proof of correctness and complexity analysis of our algorithm.",2024-03-11
"50","fun maximizing search, (non) instance optimality, and video games for parrots","jérémy barbay","data structures and algorithms","computerized adaptive testing (cat) measures an examinee's ability while adapting to their level. both too many questions and too many hard questions can make a test frustrating. are there some cat algorithms which can be proven to be theoretically better than others, and in which framework? we show that slightly extending the traditional framework yields a partial order on cat algorithms. for uni-dimensional knowledge domains, we analyze the theoretical performance of some old and new algorithms, and we prove that none of the algorithms presented are instance optimal, conjecturing that no instance optimal can exist for the cat problem.",2024-03-11
"51","feataug: automatic feature augmentation from one-to-many relationship tables","danrui qi, weiling zheng, jiannan wang","machine learning","feature augmentation from one-to-many relationship tables is a critical but challenging problem in ml model development. to augment good features, data scientists need to come up with sql queries manually, which is time-consuming. featuretools [1] is a widely used tool by the data science community to automatically augment the training data by extracting new features from relevant tables. it represents each feature as a group-by aggregation sql query on relevant tables and can automatically generate these sql queries. however, it does not include predicates in these queries, which significantly limits its application in many real-world scenarios. to overcome this limitation, we propose feataug, a new feature augmentation framework that automatically extracts predicate-aware sql queries from one-to-many relationship tables. this extension is not trivial because considering predicates will exponentially increase the number of candidate queries. as a result, the original featuretools framework, which materializes all candidate queries, will not work and needs to be redesigned. we formally define the problem and model it as a hyperparameter optimization problem. we discuss how the bayesian optimization can be applied here and propose a novel warm-up strategy to optimize it. to make our algorithm more practical, we also study how to identify promising attribute combinations for predicates. we show that how the beam search idea can partially solve the problem and propose several techniques to further optimize it. our experiments on four real-world datasets demonstrate that feataug extracts more effective features compared to featuretools and other baselines. the code is open-sourced at this https url",2024-03-11
"52","accelerating sparse tensor decomposition using adaptive linearized representation","jan laukemann, ahmed e. helal, s. isaac geronimo anderson, fabio checconi, yongseok soh, jesmin jahan tithi, teresa ranadive, brian j gravelle, fabrizio petrini, jee choi","distributed, parallel, and cluster computing","high-dimensional sparse data emerge in many critical application domains such as cybersecurity, healthcare, anomaly detection, and trend analysis. to quickly extract meaningful insights from massive volumes of these multi-dimensional data, scientists employ unsupervised analysis tools based on tensor decomposition (td) methods. however, real-world sparse tensors exhibit highly irregular shapes, data distributions, and sparsity, which pose significant challenges for making efficient use of modern parallel architectures. this study breaks the prevailing assumption that compressing sparse tensors into coarse-grained structures (i.e., tensor slices or blocks) or along a particular dimension/mode (i.e., mode-specific) is more efficient than keeping them in a fine-grained, mode-agnostic form. our novel sparse tensor representation, adaptive linearized tensor order (alto), encodes tensors in a compact format that can be easily streamed from memory and is amenable to both caching and parallel execution. to demonstrate the efficacy of alto, we accelerate popular td methods that compute the canonical polyadic decomposition (cpd) model across a range of real-world sparse tensors. additionally, we characterize the major execution bottlenecks of td methods on multiple generations of the latest intel xeon scalable processors, including sapphire rapids cpus, and introduce dynamic adaptation heuristics to automatically select the best algorithm based on the sparse tensor characteristics. across a diverse set of real-world data sets, alto outperforms the state-of-the-art approaches, achieving more than an order-of-magnitude speedup over the best mode-agnostic formats. compared to the best mode-specific formats, which require multiple tensor copies, alto achieves more than 5.1x geometric mean speedup at a fraction (25%) of their storage.",2024-03-11
"53","improved fpt approximation scheme and approximate kernel for biclique-free max k-weight sat: greedy strikes back","pasin manurangsi","data structures and algorithms","in the max $k$-weight sat (aka max sat with cardinality constraint) problem, we are given a cnf formula with $n$ variables and $m$ clauses together with a positive integer $k$. the goal is to find an assignment where at most $k$ variables are set to one that satisfies as many constraints as possible. recently, jain et al. [soda'23] gave an fpt approximation scheme (fpt-as) with running time $2^{o\left(\left(dk/\epsilon\right)^d\right)} \cdot (n + m)^{o(1)}$ for max $k$-weight sat when the incidence graph is $k_{d,d}$-free. they asked whether a polynomial-size approximate kernel exists. in this work, we answer this question positively by giving an $(1 - \epsilon)$-approximate kernel with $\left(\frac{d k}{\epsilon}\right)^{o(d)}$ variables. this also implies an improved fpt-as with running time $(dk/\epsilon)^{o(dk)} \cdot (n + m)^{o(1)}$. our approximate kernel is based mainly on a couple of greedy strategies together with a sunflower lemma-style reduction rule.",2024-03-10
"54","revisiting path contraction and cycle contraction","r. krithika, v. k. kutty malu, prafullkumar tale","data structures and algorithms","the path contraction and cycle contraction problems take as input an undirected graph $g$ with $n$ vertices, $m$ edges and an integer $k$ and determine whether one can obtain a path or a cycle, respectively, by performing at most $k$ edge contractions in $g$. we revisit these np-complete problems and prove the following results. path contraction admits an algorithm running in $\mathcal{o}^*(2^{k})$ time. this improves over the current algorithm known for the problem [algorithmica 2014]. cycle contraction admits an algorithm running in $\mathcal{o}^*((2 + \epsilon_{\ell})^k)$ time where $0 < \epsilon_{\ell} \leq 0.5509$ is inversely proportional to $\ell = n - k$. central to these results is an algorithm for a general variant of path contraction, namely, path contraction with constrained ends. we also give an $\mathcal{o}^*(2.5191^n)$-time algorithm to solve the optimization version of cycle contraction. next, we turn our attention to restricted graph classes and show the following results. path contraction on planar graphs admits a polynomial-time algorithm. path contraction on chordal graphs does not admit an algorithm running in time $\mathcal{o}(n^{2-\epsilon} \cdot 2^{o(tw)})$ for any $\epsilon > 0$, unless the orthogonal vectors conjecture fails. here, $tw$ is the treewidth of the input graph. the second result complements the $\mathcal{o}(nm)$-time, i.e., $\mathcal{o}(n^2 \cdot tw)$-time, algorithm known for the problem [discret. appl. math. 2014].",2024-03-10
"55","aqueous solution chemistry in silico and the role of data driven approaches","debarshi banerjee, khatereh azizi, colin k. egan, edward danquah donkor, cesare malosso, solana di pino, gonzalo diaz miron, martina stella, giulia sormani, germaine neza hozana, marta monti, uriel n. morzan, alex rodriguez, giuseppe cassone, asja jelic, damian scherlis, ali hassanali","chemical physics","the use of computer simulations to study the properties of aqueous systems is, today more than ever, an active area of research. in this context, during the last decade there has been a tremendous growth in the use of data-driven approaches to develop more accurate potentials for water as well as to characterize its complexity in chemical and biological contexts. we highlight the progress, giving a historical context, on the path to the development of many-body and reactive potentials to model aqueous chemistry, including the role of machine learning strategies. we focus specifically on conceptual and methodological challenges along the way in performing simulations that seek to tackle problems in modeling the chemistry of aqueous solutions. in conclusion, we summarize our perspectives on the use and integration of advanced data-science techniques to provide chemical insights in physical chemistry and how this will influence computer simulations of aqueous systems in the future.",2024-03-10
"56","steering a fleet: adaptation for large-scale, workflow-based experiments","jim pruyne, valerie hayot-sasson, weijian zheng, ryan chard, justin m. wozniak, tekin bicer, kyle chard, ian t. foster","distributed, parallel, and cluster computing","experimental science is increasingly driven by instruments that produce vast volumes of data and thus a need to manage, compute, describe, and index this data. high performance and distributed computing provide the means of addressing the computing needs; however, in practice, the variety of actions required and the distributed set of resources involved, requires sophisticated ""flows"" defining the steps to be performed on data. as each scan or measurement is performed by an instrument, a new instance of the flow is initiated resulting in a ""fleet"" of concurrently running flows, with the overall goal to process all the data collected during a potentially long-running experiment. during the course of the experiment, each flow may need to adapt its execution due to changes in the environment, such as computational or storage resource availability, or based on the progress of the fleet as a whole such as completion or discovery of an intermediate result leading to a change in subsequent flow's behavior. we introduce a cloud-based decision engine, braid, which flows consult during execution to query their run-time environment and coordinate with other flows within their fleet. braid accepts streams of measurements taken from the run-time environment or from within flow runs which can then be statistically aggregated and compared to other streams to determine a strategy to guide flow execution. for example, queue lengths in execution environments can be used to direct a flow to run computations in one environment or another, or experiment progress as measured by individual flows can be aggregated to determine the progress and subsequent direction of the flows within a fleet. we describe braid, its interface, implementation and performance characteristics. we further show through examples and experience modifying an existing scientific flow how braid is used to make adaptable flows.",2024-03-10
"57","hierarchical query classification in e-commerce search","bing he, sreyashi nag, limeng cui, suhang wang, zheng li, rahul goutam, zhen li, haiyang zhang","information retrieval","e-commerce platforms typically store and structure product information and search data in a hierarchy. efficiently categorizing user search queries into a similar hierarchical structure is paramount in enhancing user experience on e-commerce platforms as well as news curation and academic research. the significance of this task is amplified when dealing with sensitive query categorization or critical information dissemination, where inaccuracies can lead to considerable negative impacts. the inherent complexity of hierarchical query classification is compounded by two primary challenges: (1) the pronounced class imbalance that skews towards dominant categories, and (2) the inherent brevity and ambiguity of search queries that hinder accurate classification. to address these challenges, we introduce a novel framework that leverages hierarchical information through (i) enhanced representation learning that utilizes the contrastive loss to discern fine-grained instance relationships within the hierarchy, called ''instance hierarchy'', and (ii) a nuanced hierarchical classification loss that attends to the intrinsic label taxonomy, named ''label hierarchy''. additionally, based on our observation that certain unlabeled queries share typographical similarities with labeled queries, we propose a neighborhood-aware sampling technique to intelligently select these unlabeled queries to boost the classification performance. extensive experiments demonstrate that our proposed method is better than state-of-the-art (sota) on the proprietary amazon dataset, and comparable to sota on the public datasets of web of science and rcv1-v2. these results underscore the efficacy of our proposed solution, and pave the path toward the next generation of hierarchy-aware query classification systems.",2024-03-09
"58","rome/rea: three-year, tri-color timeseries photometry of the galactic bulge","r.a. street, e. bachelet, y. tsapras, m.p.g. hundertmark, v. bozza, d.m. bramich, a. cassan, m. dominik, r. figuera jaimes, k. horne, s. mao, a. saha, j. wambsganss, weicheng zang","astrophysics of galaxies","the rome/rea (robotic observations of microlensing events/reactive event assessment) survey was a key project at las cumbres observatory (hereafter lco) which continuously monitored 20 selected fields (3.76 sq.deg.) in the galactic bulge throughout their seasonal visibility window over a three-year period, between march 2017 and march 2020. observations were made in three optical passbands (sdss-g', -r', -i'), and lco's multi-site telescope network enabled the survey to achieve a typical cadence of $\sim$10\,hrs in i' and ~15 hrs in g' and r'. in addition, intervals of higher cadence (<1 hr) data were obtained during monitoring of key microlensing events within the fields. this paper describes the difference image analysis data reduction pipeline developed to process these data, and the process for combining the photometry from lco's three observing sites in the southern hemisphere. the full timeseries photometry for all 8 million stars, down to a limiting magnitude of i~18 mag is provided in the data release accompanying this paper, and samples of the data are presented for exemplar microlensing events, illustrating how the tri-band data are used to derive constraints on the microlensing source star parameters, a necessary step in determining the physical properties of the lensing object. the timeseries data also enables a wealth of additional science, for example in characterizing long-timescale stellar variability, and a few examples of the data for known variables are presented.",2024-03-09
"59","hamiltonicity, path cover, and independence number: an fpt perspective","fedor v. fomin, petr a. golovach, danil sagunov, kirill simonov","data structures and algorithms","the connection between hamiltonicity and the independence numbers of graphs has been a fundamental aspect of graph theory since the seminal works of the 1960s. this paper presents a novel algorithmic perspective on these classical problems. our contributions are twofold. first, we establish that a wide array of problems in undirected graphs, encompassing problems such as hamiltonian path and cycle, path cover, largest linkage, and topological minor containment are fixed-parameter tractable (fpt) parameterized by the independence number of a graph. to the best of our knowledge, these results mark the first instances of fpt problems for such parameterization. second, we extend the algorithmic scope of the gallai-milgram theorem. the original theorem by gallai and milgram, asserts that for a graph g with the independence number \alpha(g), the vertex set of g can be covered by at most \alpha(g) vertex-disjoint paths. we show that determining whether a graph can be covered by fewer than \alpha(g) - k vertex-disjoint paths is fpt parameterized by k. notably, the independence number parameterization, which describes graph's density, departs from the typical flow of research in parameterized complexity, which focuses on parameters describing graph's sparsity, like treewidth or vertex cover.",2024-03-09
"60","approximate bipartite $b$-matching using multiplicative auction","bhargav samineni, s m ferdous, mahantesh halappanavar, bala krishnamoorthy","data structures and algorithms","given a bipartite graph $g(v= (a \cup b),e)$ with $n$ vertices and $m$ edges and a function $b \colon v \to \mathbb{z}_+$, a $b$-matching is a subset of edges such that every vertex $v \in v$ is incident to at most $b(v)$ edges in the subset. when we are also given edge weights, the max weight $b$-matching problem is to find a $b$-matching of maximum weight, which is a fundamental combinatorial optimization problem with many applications. extending on the recent work of zheng and henzinger (ipco, 2023) on standard bipartite matching problems, we develop a simple auction algorithm to approximately solve max weight $b$-matching. specifically, we present a multiplicative auction algorithm that gives a $(1 - \varepsilon)$-approximation in $o(m \varepsilon^{-1} \log \varepsilon^{-1} \log \beta)$ worst case time, where $\beta$ the maximum $b$-value. although this is a $\log \beta$ factor greater than the current best approximation algorithm by huang and pettie (algorithmica, 2022), it is considerably simpler to present, analyze, and implement.",2024-03-09
"61","scalable $k$-clique densest subgraph search","xiaowei ye, miao qiao, rong-hua li, qi zhang, guoren wang","data structures and algorithms","in this paper, we present a collection of novel and scalable algorithms designed to tackle the challenges inherent in the $k$-clique densest subgraph problem (\kcdsp) within network analysis. we propose \psctl, a novel algorithm based on the frank-wolfe approach for addressing \kcdsp, effectively solving a distinct convex programming problem. \textcolor{black}{\psctl is able to approximate \kcdsp with near optimal guarantees.} the notable advantage of \psctl lies in its time complexity, which is independent of the count of $k$-cliques, resulting in remarkable efficiency in practical applications. additionally, we present \spath, a sampling-based algorithm with the capability to handle networks on an unprecedented scale, reaching up to $1.8\times 10^9$ edges. by leveraging the \ccpath algorithm as a uniform $k$-clique sampler, \spath ensures the efficient processing of large-scale network data, accompanied by a detailed analysis of accuracy guarantees. together, these contributions represent a significant advancement in the field of $k$-clique densest subgraph discovery. in experimental evaluations, our algorithms demonstrate orders of magnitude faster performance compared to the current state-of-the-art solutions.",2024-03-09
"62","systematic assessment of various universal machine-learning interatomic potentials","haochen yu, matteo giantomassi, giuliana materzanini, gian-marco rignanese","materials science","machine-learning interatomic potentials have revolutionized materials modeling at the atomic scale. thanks to these, it is now indeed possible to perform simulations of \abinitio quality over very large time and length scales. more recently, various universal machine-learning models have been proposed as an out-of-box approach avoiding the need to train and validate specific potentials for each particular material of interest. in this paper, we review and evaluate five different universal machine-learning interatomic potentials (umlips), all based on graph neural network architectures which have demonstrated transferability from one chemical system to another. the evaluation procedure relies on data both from a recent verification study of density-functional-theory implementations and from the materials project. through this comprehensive evaluation, we aim to provide guidance to materials scientists in selecting suitable models for their specific research problems, offer recommendations for model selection and optimization, and stimulate discussion on potential areas for improvement in current machine-learning methodologies in materials science.",2024-03-08
"63","$\mathtt{tsgt}$: stochastic time series modeling with transformer","łukasz kuciński, witold drzewakowski, mateusz olko, piotr kozakowski, łukasz maziarka, marta emilia nowakowska, łukasz kaiser, piotr miłoś","machine learning","time series methods are of fundamental importance in virtually any field of science that deals with temporally structured data. recently, there has been a surge of deterministic transformer models with time series-specific architectural biases. in this paper, we go in a different direction by introducing $\mathtt{tsgt}$, a stochastic time series model built on a general-purpose transformer architecture. we focus on using a well-known and theoretically justified rolling window backtesting and evaluation protocol. we show that $\mathtt{tsgt}$ outperforms the state-of-the-art models on mad and rmse, and surpasses its stochastic peers on ql and crps, on four commonly used datasets. we complement these results with a detailed analysis of $\mathtt{tsgt}$'s ability to model the data distribution and predict marginal quantile values.",2024-03-08
"64","dynamic convex hulls for simple paths","bruce brewer, gerth stølting brodal, haitao wang","computational geometry","we consider the planar dynamic convex hull problem. in the literature, solutions exist supporting the insertion and deletion of points in poly-logarithmic time and various queries on the convex hull of the current set of points in logarithmic time. if arbitrary insertion and deletion of points are allowed, constant time updates and fast queries are known to be impossible. this paper considers two restricted cases where worst-case constant time updates and logarithmic time queries are possible. we assume all updates are performed on a deque (double-ended queue) of points. the first case considers the monotonic path case, where all points are sorted in a given direction, say horizontally left-to-right, and only the leftmost and rightmost points can be inserted and deleted. the second case assumes that the points in the deque constitute a simple path. note that the monotone case is a special case of the simple path case. for both cases, we present solutions supporting deque insertions and deletions in worst-case constant time and standard queries on the convex hull of the points in $o(\log n)$ time, where $n$ is the number of points in the current point set. the convex hull of the current point set can be reported in $o(h+\log n)$ time, where $h$ is the number of edges of the convex hull. for the 1-sided monotone path case, where updates are only allowed on one side, the reporting time can be reduced to $o(h)$, and queries on the convex hull are supported in $o(\log h)$ time. all our time bounds are worst case. in addition, we prove lower bounds that match these time bounds, and thus our results are optimal. for a quick comparison, the previous best update bounds for the simple path problem were amortized $o(\log n)$ time by friedman, hershberger, and snoeyink [socg 1989].",2024-03-08
"65","a vlbi software correlator for fast radio transients","calvin leung, shion andrew, kiyoshi w. masui, charanjot brar, tomas cassanelli, shami chatterjee, victoria kaspi, kholoud khairy, adam e. lanman, mattias lazda, juan mena-parra, gavin noble, aaron b. pearlman, mubdi rahman, pranav sanghavi","instrumentation and methods for astrophysics","one major goal in fast radio burst science is to detect fast radio bursts (frbs) over a wide field of view without sacrificing the angular resolution required to pinpoint them to their host galaxies. wide-field detection and localization capabilities have already been demonstrated using connected-element interferometry; the chime/frb outriggers project will push this further using widefield cylindrical telescopes as widefield outriggers for very long baseline interferometry (vlbi). this paper describes an offline vlbi software correlator written in python for the chime/frb outriggers project. it includes features well-suited to modern widefield instruments like multibeaming/multiple phase center correlation, pulse gating including coherent dedispersion, and a novel correlation algorithm based on the quadratic estimator formalism. this algorithm mitigates sensitivity loss which arises in instruments where the windowing and channelization is done outside the vlbi correlator at each station, which accounts for a 30 percent sensitivity drop away from the phase center. our correlation algorithm recovers this sensitivity on both simulated and real data. as an end to end check of our software, we have written a preliminary pipeline for vlbi calibration and single-pulse localization, which we use in lanman et al. (2024) to verify the astrometric accuracy of the chime/frb outriggers array.",2024-03-08
